,make_name,model_name,year
0,Mercedes-Benz,C-Class,2012
1,Hyundai,Santa Fe,2012
2,Porsche,Panamera,2012
3,Jeep,Grand Cherokee,2012
4,Toyota,Corolla,2012
5,Chevrolet,Traverse,2012
6,Acura,TSX,2012
7,BMW,3 Series,2012
8,BMW,3 Series,2012
9,Honda,Odyssey,2007
10,Chevrolet,Camaro,2012
11,Ford,Ranger,2011
12,Honda,Accord,2012
13,Honda,Accord,2012
14,Hyundai,Elantra Touring,2012
15,Ford,Focus,2007
16,Hyundai,Sonata,2012
17,Hyundai,Tucson,2012
18,Hyundai,Elantra,2007
19,Chrysler,Sebring,2010
20,Cadillac,SRX,2012
21,Audi,A5,2012
22,Fisker,Karma,2012
23,GMC,Acadia,2012
24,Dodge,Charger,2012
25,Jeep,Liberty,2012
26,Jeep,Compass,2012
27,Ford,Edge,2012
28,Toyota,Camry,2012
29,Honda,Odyssey,2012
30,Hyundai,Veloster,2012
31,Mercedes-Benz,S-Class,2012
32,BMW,1 Series,2012
33,BMW,1 Series,2012
34,Chevrolet,Impala,2007
35,Mercedes-Benz,E-Class,2012
36,Ford,E-Series,2012
37,Ford,Mustang,2007
38,Acura,TL,2012
39,Scion,xD,2012
40,Dodge,Durango,2012
41,GMC,Terrain,2012
42,Volkswagen,Beetle,2012
43,Buick,Enclave,2012
44,Dodge,Caliber,2007
45,Hyundai,Veracruz,2012
46,Chevrolet,Sonic,2012
47,Jeep,Wrangler,2012
48,Chevrolet,Malibu,2007
49,Chevrolet,Express Cargo,2007
50,McLaren,MP4-12C,2012
51,Dodge,Journey,2012
52,BMW,X5,2007
53,FIAT,500,2012
54,BMW,M6,2010
55,Chevrolet,Corvette,2012
56,Bentley,Continental Flying Spur,2007
57,Jeep,Patriot,2012
58,Volvo,XC90,2007
59,Ford,Fiesta,2012
60,Dodge,Durango,2007
61,BMW,X3,2012
62,BMW,X6,2012
63,Buick,Verano,2012
64,BMW,Z4,2012
65,Nissan,Juke,2012
66,Hyundai,Genesis,2012
67,Hyundai,Sonata Hybrid,2012
68,Ferrari,FF,2012
69,Mercedes-Benz,SL-Class,2009
70,Audi,S4,2007
71,Bentley,Continental GT,2012
72,Chevrolet,Express,2007
73,GMC,Savana,2012
74,Tesla,Model S,2012
75,Lincoln,Town Car,2011
76,Toyota,4Runner,2012
77,smart,fortwo,2012
78,Chrysler,PT Cruiser,2008
79,Volkswagen,Golf,2012
80,Rolls-Royce,Ghost,2012
81,Chevrolet,Cobalt,2010
82,Hyundai,Accent,2012
83,Chevrolet,HHR,2010
84,Mitsubishi,Lancer,2012
85,Suzuki,SX4,2012
86,Suzuki,SX4,2012
87,Audi,S5,2012
88,Audi,S5,2012
89,Cadillac,CTS-V,2012
90,Dodge,Caliber,2012
91,Suzuki,Kizashi,2012
92,Mazda,Tribute,2011
93,Toyota,Sequoia,2012
94,Volvo,C30,2012
95,Audi,S4,2012
96,Nissan,NV Passenger,2012
97,Audi,R8,2012
98,Ferrari,458 Italia,2012
99,Ferrari,458 Italia,2012
100,Audi,TTS,2012
101,Bentley,Continental GT,2007
102,Ford,GT,2006
103,Chrysler,Crossfire,2008
104,Ford,Freestar,2007
105,Ferrari,California,2012
106,Chevrolet,Monte Carlo,2007
107,Dodge,Magnum,2008
108,Mercedes-Benz,300-Class,1993
109,Acura,ZDX,2012
110,BMW,M3,2012
111,BMW,6 Series,2007
112,Mercedes-Benz,Sprinter,2012
113,Hyundai,Azera,2012
114,Audi,RS 4,2008
115,Lamborghini,Aventador,2012
116,Buick,Rainier,2007
117,Dodge,Sprinter Cargo,2009
118,Volvo,240,1993
119,Dodge,Caravan,1997
120,Chrysler,Aspen,2009
121,Bentley,Mulsanne,2011
122,Audi,S6,2011
123,Chevrolet,Tahoe Hybrid,2012
124,Lamborghini,Diablo,2001
125,Audi,TT,2011
126,BMW,ActiveHybrid 5,2012
127,Isuzu,Ascender,2008
128,GMC,Yukon Hybrid,2012
129,Rolls-Royce,Phantom,2012
